Conv ID,Result
753,Understatement
756,Positive
759,Undetermined
762,Positive
761,Understatement
763,Positive
765,Positive
767,Positive
771,Positive
775,Positive
776,Undetermined
780,Understatement
784,Undetermined
787,Undetermined
795,Positive
796,Negative
799,Positive
806,Positive
808,Undetermined
816,Positive
822,Positive
825,Positive
824,Negative
826,Understatement
829,Positive
830,Positive
831,Positive
836,Undetermined
835,Negative
837,Understatement
841,Understatement
842,Positive
847,Positive
850,Positive
853,Positive
854,Negative
857,Positive
860,Undetermined
861,Undetermined
864,Negative
866,Positive
868,Positive
874,Undetermined
882,Undetermined
895,Negative
898,Positive
904,Positive
907,Positive
908,Positive
918,Undetermined
919,Positive
920,Positive
921,Positive
928,Positive
929,Undetermined
930,Positive
933,Undetermined
934,Positive
939,Positive
940,Understatement
942,Positive
949,Understatement
951,Negative
952,Positive
955,Positive
959,Understatement
960,Understatement
963,Undetermined
980,Positive
983,Undetermined
989,Negative
993,Undetermined
1009,Positive
1014,Positive
1018,Negative
1021,Positive
1030,Undetermined
1036,Undetermined
1039,Understatement
1042,Negative
1046,Positive
1047,Undetermined
1052,Undetermined
1053,Positive
1055,Undetermined
1058,Positive
1060,Positive
1061,Positive
1063,Positive
1066,Undetermined
1070,Positive
1072,Negative
1074,Positive
1080,Positive
1081,Undetermined
1082,Undetermined
1084,Understatement
1090,Positive
1093,Undetermined
1103,Undetermined
1105,Undetermined
1106,Positive
1108,Undetermined
1110,Undetermined
1113,Positive
1122,Understatement
1125,Positive
1127,Positive
1130,Positive
1135,Negative
1138,Positive
1139,Undetermined
1145,Understatement
1151,Undetermined
1149,Undetermined
1150,Positive
1152,Undetermined
1155,Undetermined
1158,Positive
1157,Positive
1166,Positive
1167,Positive
1172,Understatement
1177,Undetermined
1181,Positive
1183,Positive
1186,Undetermined
1187,Positive
1189,Understatement
1190,Understatement
1196,Positive
1197,Negative
1198,Undetermined
1203,Positive
1209,Undetermined
1210,Positive
1211,Positive
1212,Positive
1214,Undetermined
1219,Positive
1222,Positive
1223,Negative
1230,Undetermined
1238,Positive
1240,Positive
1243,Negative
1245,Positive
1249,Understatement
1250,Positive
1253,Undetermined
1255,Positive
1256,Undetermined
1259,Negative
1260,Positive
1262,Undetermined
1270,Negative
1280,Positive
1284,Positive
1286,Positive
1289,Understatement
1293,Undetermined
1295,Positive
1302,Understatement
1303,Positive
1307,Undetermined
1322,Negative
1327,Positive
1328,Understatement
1329,Negative
1332,Undetermined
1333,Positive
1338,Undetermined
1340,Positive
1341,Positive
1343,Undetermined
1344,Understatement
1345,Negative
1346,Undetermined
1348,Understatement
1349,Positive
1353,Negative
1354,Undetermined
1358,Understatement
1361,Positive
1364,Negative
1363,Undetermined
1365,Understatement
1367,Undetermined
1368,Understatement
1371,Undetermined
1372,Understatement
1373,Undetermined
1374,Negative
1376,Positive
1377,Negative
1379,Positive
1380,Undetermined
1382,Positive
1383,Positive
1391,Positive
1393,Positive
1395,Positive
1398,Positive
1402,Positive
1404,Negative
1407,Positive
1414,Positive
1415,Understatement
1417,Positive
1419,Undetermined
1420,Positive
1423,Negative
1426,Undetermined
1430,Undetermined
1438,Undetermined
1443,Positive
1446,Positive
1448,Undetermined
1449,Negative
1452,Understatement
1464,Negative
1465,Positive
1471,Positive
1472,Negative
1475,Positive
1477,Positive
1479,Undetermined
1485,Positive
1491,Negative
1494,Positive
1495,Undetermined
1500,Understatement
1504,Undetermined
1507,Positive
1510,Undetermined
1514,Positive
1518,Positive
1521,Positive
1523,Positive
1527,Understatement
1533,Positive
1534,Positive
1543,Positive
1550,Positive
1551,Positive
1558,Positive
1559,Positive
1563,Positive
1570,Understatement
1573,Undetermined
1576,Undetermined
1587,Positive
1594,Positive
1597,Positive
1599,Undetermined
1604,Undetermined
1610,Positive
1619,Undetermined
1623,Understatement
1622,Undetermined
1625,Positive
1629,Positive
1632,Undetermined
1633,Positive
1634,Undetermined
1635,Positive
1642,Understatement
1641,Positive
1646,Positive
1654,Negative
1655,Positive
1657,Understatement
1661,Undetermined
1662,Negative
1664,Undetermined
1666,Positive
1667,Undetermined
1671,Undetermined
1678,Positive
1679,Negative
1680,Undetermined
1681,Positive
1685,Positive
1686,Positive
1689,Positive
1690,Negative
1692,Undetermined
1702,Undetermined
1705,Understatement
1708,Positive
1710,Undetermined
1716,Undetermined
1719,Negative
1721,Positive
1724,Understatement
1727,Understatement
1729,Understatement
1732,Negative
1733,Understatement
1734,Positive
1737,Undetermined
1743,Positive
1746,Positive
1753,Positive
1759,Understatement
1761,Negative
1762,Positive
1771,Negative
1773,Understatement
1779,Undetermined
1790,Positive
1791,Positive
1793,Understatement
1799,Positive
1803,Negative
1806,Understatement
1809,Undetermined
1807,Positive
1810,Positive
1812,Negative
1818,Understatement
1820,Negative
1824,Undetermined
1825,Understatement
1828,Understatement
1830,Positive
1834,Positive
1835,Understatement
1838,Positive
1840,Positive
1843,Negative
1844,Undetermined
1846,Positive
1849,Positive
1852,Positive
1860,Positive
1859,Positive
1872,Positive
1870,Positive
1875,Undetermined
1876,Positive
1880,Positive
1883,Positive
1890,Positive
1892,Positive
1897,Positive
1898,Understatement
1900,Understatement
1903,Undetermined
1906,Positive
1908,Positive
1910,Positive
1912,Positive
1919,Negative
1924,Understatement
1927,Positive
1936,Positive
1938,Positive
1942,Positive
1950,Positive
1954,Positive
1955,Undetermined
1958,Undetermined
1968,Negative
1972,Negative
1977,Positive
1983,Positive
1986,Positive
1987,Undetermined
1988,Positive
1992,Undetermined
1995,Positive
1997,Negative
1998,Positive
2001,Positive
2008,Undetermined
2012,Negative
2022,Negative
2024,Positive
2026,Understatement
2031,Undetermined
2032,Positive
2042,Understatement
2049,Positive
2050,Undetermined
2054,Positive
2056,Understatement
2060,Undetermined
2063,Understatement
2065,Understatement
2067,Positive
2069,Negative
2076,Undetermined
2079,Understatement
2081,Undetermined
2087,Understatement
2088,Undetermined
2091,Positive
2095,Positive
2101,Undetermined
2107,Negative
2119,Undetermined
2120,Positive
2123,Negative
2124,Undetermined
2133,Positive
2137,Undetermined
2138,Positive
2140,Negative
2143,Positive
2154,Understatement
2155,Positive
2156,Undetermined
2161,Positive
2160,Undetermined
2167,Positive
2169,Negative
2170,Negative
2171,Undetermined
2176,Positive
2178,Positive
2179,Positive
2181,Undetermined
2185,Undetermined
2187,Undetermined
2188,Negative
2190,Positive
2191,Negative
2192,Negative
2193,Negative
2204,Negative
2207,Undetermined
2208,Positive
2210,Understatement
2215,Understatement
2216,Undetermined
2219,Positive
2223,Undetermined
2225,Undetermined
2227,Positive
2228,Positive
2229,Positive
2230,Understatement
2232,Undetermined
2234,Undetermined
2235,Positive
2237,Positive
2240,Negative
2246,Positive
2247,Understatement
2250,Undetermined
2251,Positive
2256,Negative
2261,Undetermined
2263,Understatement
2264,Negative
2268,Positive
2271,Undetermined
2272,Positive
2275,Negative
2274,Undetermined
2276,Positive
2277,Undetermined
2278,Undetermined
2281,Understatement
2282,Undetermined
2285,Understatement
2292,Undetermined
2293,Undetermined
2295,Understatement
2301,Negative
2305,Understatement
2308,Positive
2309,Positive
2310,Positive
2311,Positive
2317,Understatement
2319,Undetermined
2324,Negative
2325,Positive
2328,Undetermined
2333,Positive
2334,Positive
2335,Positive
2339,Negative
2340,Understatement
2342,Positive
2347,Undetermined
2346,Negative
2354,Positive
2355,Undetermined
2357,Positive
2368,Negative
2375,Understatement
2378,Understatement
2380,Understatement
2381,Positive
2382,Positive
2383,Undetermined
2384,Positive
2385,Negative
2386,Positive
2396,Positive
2397,Positive
2401,Positive
2403,Negative
2410,Positive
2411,Positive
2413,Undetermined
2415,Undetermined
2420,Positive
2421,Undetermined
2424,Positive
2425,Positive
2430,Positive
2432,Positive
2433,Undetermined
2434,Undetermined
2436,Undetermined
2437,Negative
2438,Undetermined
2439,Positive
2440,Positive
2442,Understatement
2443,Positive
2448,Positive
2451,Undetermined
2454,Negative
2453,Undetermined
2456,Undetermined
2457,Undetermined
2458,Undetermined
2459,Positive
2460,Positive
2464,Positive
2465,Negative
2466,Understatement
2468,Undetermined
2469,Positive
2472,Negative
2473,Undetermined
2477,Negative
2483,Positive
2488,Positive
