id,Response
190,"It looks like it's using numpy arrays here, so an array slice is probably the way to go."
190,"Are these outputs valid ?  :

<https://github.com/paulgureghian/Google_Colab_Notebooks/blob/master/CNNs_with_Keras.ipynb>"
190,"It's at least claiming 98-99% accuracy on the trained model, so there's no immediately obvious error. Are you suspicious of it for some reason?"
193,great thanks
198,oh gross.
198,much more readable
203,please refrain from using pictures.
203,"Wow, Worked perfectly <@Shan> I was thinking in use a for to extract , use join and append to a list, your approach is much better. I was doing wrong using '(' and ')' beacause clearly should give me groups for each part of regex, Thanks a lot!"
203,"somebody help please? am trying to mocking user input as key and value dictionary and wanna do Python unittesting, but couldn’t find online resource or example"
207,"Thank you <@Conrad>, will definitely look into this. I’m confused as to why aws is giving me a different response even though I explicitly said I want the PST timezone. :taco:"
207,"I wrote the comment, then I thought ""hmm, is that really Bash syntax or am I just making it up? I should check it before posting.""

Then work bothered me :slightly_smiling_face:

Happy that it worked, &amp; detaches the process from the current shell. Not really sure if it is killed if the shell is killed, but that can be googled."
213,"ah, yeah, that would be helpful"
214,"Thanks, nice find. I tried some of the methods listed here and it illuminated another issue I think I need to solve first. ```AssertionError: 2 columns passed, passed data had 34 columns
```
Seems my data is messed up at an earlier point as my lists have 34 columns..; I'll try to sort that out first!; Thansk for the link!"
214,"Sorry got hit with a powercut here, looking into it now; The results are correct; I did modify so `headers=False`, same result"
214,can somebody help here please <https://pythondev.slack.com/archives/C07EFMZ1N/p1547543796309000>
214,"<@Jimmy> <@Clemmie> Thanks you, i will look at it !"
217,"Anyone knowledgeable on adding sheets to an excel file using pandas? This code ends up overwriting the entire workbook or sheet. (one or the other, I only had 1 sheet in the workbook to begin with). Some examples as shown here: <https://stackoverflow.com/questions/42370977/how-to-save-a-new-sheet-in-an-existing-excel-file-using-pandas/42371251> look similar to what I have and I am not sure how it is different in the form of telling it to add sheets rather than overwrite them."
218,"<@Olevia> it sounds like you mean divergent and convergent in the context of a mathematical series, is that right?; As in, a convergent series is one where limit of x -&gt; infinity is well defined"
218,"For the moment i need to check if a series is convergente or divergent, then i will check the series has a limit"
218,"Wait, if this is for homework shouldn’t you be coding the algorithm?; Basically implementing what you read in that link? (Which I have not read, just glanced at)"
218,"I've tried with a list like [1, 2, 3, 4, ...], it's easier, but i think if i want to do a very good function, it should be a mathematical function; I think i will see if it's possible to use finite sequence, it would be much easier to try to develop"
221,I'm in 2.7 still; Requests is 2.19.1; How do I figure out what the encoding is?
224,"Hey <@Hiroko>, thanks for getting back to me. It looks like the issue with with /python3.6/functools.py tho, which is part of the requests package. Basically, I’m trying to make a url request, but functools.py line 370 keeps failing and trying to call itself again and again; is there a known issue with functools.py?"
222,"do you really need to stream the response?; just asking; ```        response.raw.read = functools.partial(response.raw.read, decode_content=True)```"
222,"ok, so uwsgi is using multiple threads and processes"
225,"I am Getting this error message while running `from NseTools import nse`
```Exception in thread Thread-1:
Traceback (most recent call last):
  File ""C:\Users\Ripper\AppData\Local\Programs\Python\Python37\lib\threading.py"", line 917, in _bootstrap_inner
    self.run()
  File ""C:\Users\Ripper\AppData\Local\Programs\Python\Python37\lib\threading.py"", line 865, in run
    self._target(*self._args, **self._kwargs)
  File ""G:\Stocks Market\test\graphJSSTest.py"", line 16, in ntstockdetails
    data = nse.get_quote(stkname)
  File ""C:\Users\Ripper\AppData\Local\Programs\Python\Python37\lib\site-packages\nsetools\nse.py"", line 160, in get_quote
    buffer = match.group(1)
AttributeError: 'NoneType' object has no attribute 'group'```; This is the main code I run to fetch data
`data = nse.get_quote(stkname)`; Sometime it runs fine but sometime I get the above error; and mostly I am getting error when I am fetching the data in higher frequency"
225,I understand my memory concerns; What I need is an alternative way to accomplish this; A system with 16GB ram is enough to allow uploading 2MB file to a database I think :thinking_face:
225,"I am Getting this error message while running `from NseTools import nse`
```Exception in thread Thread-1:
Traceback (most recent call last):
  File ""C:\Users\Ripper\AppData\Local\Programs\Python\Python37\lib\threading.py"", line 917, in _bootstrap_inner
    self.run()
  File ""C:\Users\Ripper\AppData\Local\Programs\Python\Python37\lib\threading.py"", line 865, in run
    self._target(*self._args, **self._kwargs)
  File ""G:\Stocks Market\test\graphJSSTest.py"", line 16, in ntstockdetails
    data = nse.get_quote(stkname)
  File ""C:\Users\Ripper\AppData\Local\Programs\Python\Python37\lib\site-packages\nsetools\nse.py"", line 160, in get_quote
    buffer = match.group(1)
AttributeError: 'NoneType' object has no attribute 'group'```
(edited)
This is the main code I run to fetch data
`data = nse.get_quote(stkname)`
Sometime it runs fine but sometime I get the above error
and mostly I am getting error when I am fetching the data in higher frequency"
225,thanks <@Shan>  currently not at desk i will change and revert 
234,"That's probably just slurping everything into a single column, though. The problem is the trailing comma, which implies an extra column. Do you have any control over how that file is generated?"
235,"thanks ill give it a read; ```&gt;&gt;&gt; s = smtplib.SMTP('localhost')
Traceback (most recent call last):
  File ""&lt;stdin&gt;"", line 1, in &lt;module&gt;
  File ""/usr/lib64/python2.7/smtplib.py"", line 255, in __init__
    (code, msg) = self.connect(host, port)
  File ""/usr/lib64/python2.7/smtplib.py"", line 315, in connect
    self.sock = self._get_socket(host, port, self.timeout)
  File ""/usr/lib64/python2.7/smtplib.py"", line 290, in _get_socket
    return socket.create_connection((host, port), timeout)
  File ""/usr/lib64/python2.7/socket.py"", line 571, in create_connection
    raise err
socket.error: [Errno 113] No route to host```"
236,"well i tried to directly insert the data creating a new dataframe, but its giving an error ""Shape of passed values is (1, 10), indices imply (10, 10)"""
243,"<@Mica>, its not a Python frontend as such......I just want to use Python in the current HTML/CSS template I have to communicate to an existing REST API, dont know if this make sense"
244,I don’t think I follow this but i’ll reread it a few times
244,Okay thanks guys this looks promising; <@Caridad> :taco:; <@Claudine> :taco:
252,<@Adolfo> You can use dictionary unpacking and kwargs on __init__ to handle it. it would look like the following
253,seems like it has to do with how you execute run.py
256,okay
257,<@Conchita> I’ll suggest you this video as a brief introduction : <https://www.youtube.com/watch?v=F37fV0uFf60>; And this course has a nice hands-on w/ Pandas <https://www.coursera.org/learn/python-data-analysis>
258,"How can I merge a list of attributes to their associated dictionarys?  My process uses request calls to a list of names, which then I need to make another separate resource request to get individual characteristics that i have to loop each individual separately.  For me to use them later I would like to attach names with their corresponding information.

```names = [""person 1"", ""person 2"", ...]```

for occupation in names to get occupation details associated with each person.
```Occupation =
    {
      ""Occupation"": [
        { ""discipline"": ""Astronaut"", ""rating"": ""trainer"" },
        { ""discipline"": ""Street Juggler"", ""rating"": ""Expert"" }
      ]
    }```

```Occupation =
    {
    ""Occupation"": [
        { ""discipline"": ""Backyard Guitar Player"",""rating"": ""expert"" }
        ]
    }```
.
.
.
Desired result as per below:


```list_ppl_occupation =
[
  {
    ""person 1"":
    {
      ""Occupation"": [
        { ""discipline"": ""Astronaut"", ""rating"": ""trainer"" },
        { ""discipline"": ""Street Juggler"", ""rating"": ""Expert"" }
      ]
    }
  },
  {
    ""person 2"":
    {
    ""Occupation"": [
        { ""discipline"": ""Backyard Guitar Player"",""rating"": ""expert"" }
        ]
    }
  },
  .
  .
  .
]```

how can accomplish this?"
260,"You need to break your problem down if you want anyone to answer that, your current question is really, really specific; as I understand it you want to persist something (a login token) across processes. So, you could use something like Redis, a database or even something as simple as a plain-text file; When your beat process starts, just check if the token is there. If it’s not, log in and store the token. If the token has expired and you get an error, repeat the process above.; Protip: When writing a question on stack overflow (or anywhere else) make it as general as possible. If you can’t, then you don’t understand the problem well enough and you should work on improving your understanding of the problem :+1:"
263,"[Windows] Hi all! I'd like to fully convert to Python Launcher on Windows in our organization. However lots of our scripts look like

python /path/to/script.py

I want to remove python.exe from PATH completely, but I do not see a way to keep these scripts working without changing them. Can it be done somehow?

Thanks a lot for help!"
264,"Oh right, I misread the original question.; I’d just fix the scripts; seems the more correct way, rather than removing python from the PATH"
264,"I’d recommend using `requests` over urllib. But in any case, your access token is incorrect. Hence the server is telling you you’re forbidden; try looking at the response text to see if it’s giving you an explicit error"
264,"error:Exception has occurred: AttributeError
module 'numpy' has no attribute '__version__'"
268,"Oh, I think I see. You need indents for your `if` blocks. I'm surprised you don't get an interpreter error."
273,none of that is particularly pythonic :confused:; the reason the `process_matches` is slow is the mongodb insert I expect; and it’s full of mixed concerns
275,I have the hardest times with code snippets in Slack.....
276,<@Hiroko> hmm nice one. but i dont think this will exactly fit my need; any other better approaches to control this in python; I want to split a list into batches
276,"yes, how would i implement something simple in python"
280,"at the moment bs4; sleep will do actually, thanks"
281,"Advent of code has some interesting problems as well, although they are more focused on algorithms than general problem solving.; And can of course be solved even though it's not december"
282,"Yep , it’s an industrial equipment.; And we are writing simulation server for it - for testing purposes"
283,"Has anyone here done some heavy production level work with schedulers? E.g do something at a specific time, interval, at this timezone
This scheduler can have over 100 active tasks a day, and the schedules can change dynamically (Stored in DB)
When individual tasks are triggered by the scheduer, based on some conditions some other tasks are also scheduled ahead of time.

Things I've tried - celery and huey"
283,"Yes, I have datadog logging a bunch of stuff. I can show you some interesting graphs.

No tasks were dispatched between 4am and 7am UTC"
283,"haha, yes its basically like - have you turned it on? :joy:"
283,"The first one is total requests, and 3rd is latency. Both are actually for postgres, the db"
284,"There have been some issues in the past with celery and django-celery-beat around missing/lost periodic tasks. Are you on the most recent stable versions of everything (django, celery, django-celery-beat)?; Also are the tasks missed, or do you see a message in your redis log that they were dispatched but didn’t run?"
285,And won’t be implemented anytime soon; <https://www.python.org/dev/peps/pep-0426/>; There really isn’t a need for that kind of rigid hierarchy with python. The conventions are less enterprise-y and more relaxed 
285,"Yes, PEP-423 seems more like guidelines. I don't think there is much to implement per se."
289,"(Btw, thanks for your very unique nickname!)"
290,There's a comma at the end of L#10
290,Aha! The comma was the cause! Have a :taco: <@Jimmy> <@Conrad>
297,"If I understand your question, it looks like the module has a `convertToCsv()` method which takes a string and outputs CSV lines."
299,"thats what i see a lot; as soon as i first researched global variables (because i used them frequently in vba for excel), I was telling myself ""stay away...:zany_face:""."
